id_amc,QL,lisa_cat,lisa_rotulo,ano
1001,0.0059465280016192,0,Não Significativo,1985
2012,0.5507988844710489,0,Não Significativo,1985
2019,0.0317964095607451,3,Baixo-Baixo,1985
2021,0.1813337888258589,0,Não Significativo,1985
2022,0.1166960204986219,3,Baixo-Baixo,1985
2024,0.1870065303479512,3,Baixo-Baixo,1985
2027,1.9288594139584607,3,Baixo-Baixo,1985
2028,3.1342843939155167,4,Alto-Baixo,1985
2029,0.7599248375650156,3,Baixo-Baixo,1985
2034,0.5638539370375184,3,Baixo-Baixo,1985
2036,0.048338131418988,0,Não Significativo,1985
2038,2.588888554313801,3,Baixo-Baixo,1985
2040,0.2309386267752305,3,Baixo-Baixo,1985
2041,0.3015540773935058,0,Não Significativo,1985
2045,0.1336654416629408,0,Não Significativo,1985
2046,0.5820286464643588,0,Não Significativo,1985
2047,0.0195783640058226,0,Não Significativo,1985
2050,0.3137046079844529,3,Baixo-Baixo,1985
2052,0.3214765689930767,0,Não Significativo,1985
2053,0.0630775995221264,3,Baixo-Baixo,1985
2055,0.4145847205105736,3,Baixo-Baixo,1985
2057,0.1591001873296947,3,Baixo-Baixo,1985
2063,2.786471806778238,0,Não Significativo,1985
2064,0.0235093923865995,0,Não Significativo,1985
2065,0.0328847781600817,0,Não Significativo,1985
2066,0.0956123613809074,0,Não Significativo,1985
2067,0.7769433720299243,0,Não Significativo,1985
2068,0.0329842919316803,3,Baixo-Baixo,1985
16002,0.0301288858328076,0,Não Significativo,1985
16008,0.0079062249371353,0,Não Significativo,1985
16010,0.1082736428728308,0,Não Significativo,1985
3029,0.251674855524051,0,Não Significativo,1985
3060,0.077288661878204,0,Não Significativo,1985
3065,1.4671794073869056,0,Não Significativo,1985
3081,0.0451470415449135,0,Não Significativo,1985
3090,0.7942362292770132,0,Não Significativo,1985
4001,3.724002449628468,0,Não Significativo,1985
4002,0.2434475150693561,0,Não Significativo,1985
4003,0.4339045261000925,3,Baixo-Baixo,1985
4004,1.0111625294176,0,Não Significativo,1985
4005,0.4736987917176639,0,Não Significativo,1985
4008,1.106324347604687,0,Não Significativo,1985
4009,0.5351902233143766,3,Baixo-Baixo,1985
4010,0.0082268355408026,3,Baixo-Baixo,1985
4011,0.3308013103207412,0,Não Significativo,1985
4013,0.1202345579338727,3,Baixo-Baixo,1985
4014,2.175471243328787,3,Baixo-Baixo,1985
4015,0.0418491801646275,0,Não Significativo,1985
4018,0.7632389542177298,0,Não Significativo,1985
4019,0.0082427849394091,0,Não Significativo,1985
4021,0.2902408861501376,0,Não Significativo,1985
4022,6.828555366822701,0,Não Significativo,1985
4023,2.05713233771975,0,Não Significativo,1985
4024,0.6491707218194649,3,Baixo-Baixo,1985
4026,1.5776039627849725,0,Não Significativo,1985
4027,0.4150870734694752,3,Baixo-Baixo,1985
4028,0.1815056556188381,0,Não Significativo,1985
4030,8.929401198935505,0,Não Significativo,1985
4031,0.2148707906302113,0,Não Significativo,1985
4032,2.407872793760407,0,Não Significativo,1985
4033,1.808509953654754,0,Não Significativo,1985
4034,5.356494265325835,0,Não Significativo,1985
4035,1.6644164191745503,0,Não Significativo,1985
4036,0.8981116192633551,0,Não Significativo,1985
4039,0.313283056439569,0,Não Significativo,1985
4040,8.934824654163167,0,Não Significativo,1985
4042,2.3255342427309653,0,Não Significativo,1985
4043,4.45397481575782,0,Não Significativo,1985
4044,0.3718917530138272,0,Não Significativo,1985
4046,0.150933628540246,3,Baixo-Baixo,1985
4047,0.7891480989797581,0,Não Significativo,1985
4050,1.6376373008008671,0,Não Significativo,1985
4051,3.5876092510968856,0,Não Significativo,1985
4052,0.1883917639060842,0,Não Significativo,1985
4053,0.1169051298475603,0,Não Significativo,1985
4055,0.0602744325214447,0,Não Significativo,1985
4056,0.1349613266638124,3,Baixo-Baixo,1985
4059,1.6978685809078229,0,Não Significativo,1985
4060,1.6651201458913991,0,Não Significativo,1985
4061,4.150152342390374,0,Não Significativo,1985
4062,0.0016382180298909,3,Baixo-Baixo,1985
4063,2.3156371236861166,0,Não Significativo,1985
4067,0.6864645664242409,3,Baixo-Baixo,1985
4069,0.4120202789404051,0,Não Significativo,1985
4073,0.3408611262875847,0,Não Significativo,1985
4075,0.0219878782449441,3,Baixo-Baixo,1985
4077,0.0296703541627463,0,Não Significativo,1985
4078,7.377756667217882,0,Não Significativo,1985
4079,0.1298720766590748,0,Não Significativo,1985
4080,0.0147548487782005,3,Baixo-Baixo,1985
4082,2.656652461361671,0,Não Significativo,1985
4083,0.2412675343025614,0,Não Significativo,1985
4085,0.1624632807204037,0,Não Significativo,1985
4087,0.7848775934253595,3,Baixo-Baixo,1985
4089,0.2931489026201905,3,Baixo-Baixo,1985
