Ano,UF,AMCs_especializadas,Total_AMCs_especializadas_no_ano,Participacao_pct
1985,SP,181,809,22.4
1985,PR,127,809,15.7
1985,RN,99,809,12.2
1985,CE,91,809,11.2
1985,PB,87,809,10.8
1985,AL,48,809,5.9
1985,BA,37,809,4.6
1985,PE,33,809,4.1
1985,SE,29,809,3.6
1985,PI,25,809,3.1
1985,MG,20,809,2.5
1985,MS,17,809,2.1
1985,GO,8,809,1.0
1985,PA,4,809,0.5
1985,??,1,809,0.1
1985,MT,1,809,0.1
1985,MA,1,809,0.1
2024,BA,20,95,21.1
2024,RN,19,95,20.0
2024,MT,12,95,12.6
2024,MG,12,95,12.6
2024,PB,12,95,12.6
2024,SP,5,95,5.3
2024,PI,4,95,4.2
2024,CE,3,95,3.2
2024,MS,2,95,2.1
2024,GO,2,95,2.1
2024,MA,2,95,2.1
2024,TO,1,95,1.1
2024,PE,1,95,1.1
