variavel,numero_quebras,anos_quebra,bic,selecionado
Área colhida,0,[],1313.95,False
Área colhida,1,[1992],1302.13,False
Área colhida,2,"[1992, 2016]",1287.45,True
Área colhida,3,"[1992, 2003, 2016]",1288.88,False
Área colhida,4,"[1983, 1992, 2003, 2016]",1291.65,False
Área colhida,5,"[1983, 1992, 2000, 2008, 2016]",1302.93,False
Rendimento médio,0,[],734.75,False
Rendimento médio,1,[1999],623.33,False
Rendimento médio,2,"[1998, 2006]",587.39,False
Rendimento médio,3,"[1998, 2006, 2016]",568.43,False
Rendimento médio,4,"[1982, 1998, 2006, 2016]",561.68,True
Rendimento médio,5,"[1981, 1989, 1998, 2006, 2016]",567.9,False
